"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 28 17:29:54 BRT 2023","Thu Sep 28 17:30:08 BRT 2023","14411","Default Suite","ProjetoSiteSicredi","automationexercise.tests.OuvidoriaTest","automationexercise.tests.OuvidoriaTest","abrirMenuComSucesso","abrirMenuComSucesso","Validar abrir o menu"
"failed","Thu Sep 28 17:29:22 BRT 2023","Thu Sep 28 17:29:25 BRT 2023","3353","Default Suite","ProjetoSiteSicredi","automationexercise.tests.HomeTest","automationexercise.tests.HomeTest","localizarAgenciaPorCepInvalidoSemSucesso","localizarAgenciaPorCepInvalidoSemSucesso","Validar navegar pesquisar agência por Cep inválido"
"passed","Thu Sep 28 17:29:46 BRT 2023","Thu Sep 28 17:29:50 BRT 2023","3792","Default Suite","ProjetoSiteSicredi","automationexercise.tests.HomeTest","automationexercise.tests.HomeTest","navegarAtePaginaLocalizarAgenciaComSucesso","navegarAtePaginaLocalizarAgenciaComSucesso","Validar navegar até a página de pesquisa de Agência"
"passed","Thu Sep 28 17:29:37 BRT 2023","Thu Sep 28 17:29:42 BRT 2023","4179","Default Suite","ProjetoSiteSicredi","automationexercise.tests.HomeTest","automationexercise.tests.HomeTest","localizarAgenciaPorGeolocalizacaoComSucesso","localizarAgenciaPorGeolocalizacaoComSucesso","Validar navegar pesquisar agência por geolocalização"
"passed","Thu Sep 28 17:29:30 BRT 2023","Thu Sep 28 17:29:33 BRT 2023","3821","Default Suite","ProjetoSiteSicredi","automationexercise.tests.HomeTest","automationexercise.tests.HomeTest","localizarAgenciaPorCidadeComSucesso","localizarAgenciaPorCidadeComSucesso","Validar navegar pesquisar agência por cidade válida"
"passed","Thu Sep 28 17:29:13 BRT 2023","Thu Sep 28 17:29:18 BRT 2023","4150","Default Suite","ProjetoSiteSicredi","automationexercise.tests.HomeTest","automationexercise.tests.HomeTest","localizarAgenciaPorCepComSucesso","localizarAgenciaPorCepComSucesso","Validar navegar pesquisar agência por CEP válido"
